[548/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:400  	lastexch:84  	cond:0
[549/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:6  	lastexch:68  	cond:37
[554/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:175  	lastexch:90  	cond:0
[566/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:1000  	lastexch:90  	cond:0
[584/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:460  	lastexch:68  	cond:0
[585/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:700  	lastexch:68  	cond:0
[588/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:1086  	lastexch:68  	cond:0
[596/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:60  	lastexch:68  	cond:37
[599/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:400  	lastexch:84  	cond:0
[603/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:483  	lastexch:68  	cond:0
[607/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:5  	lastexch:68  	cond:37
[608/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:5  	lastexch:68  	cond:37
[609/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:600  	lastexch:90  	cond:0
[610/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:100  	lastexch:84  	cond:0
[613/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:100  	lastexch:84  	cond:0
[616/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:100  	lastexch:84  	cond:0
[617/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:225  	lastexch:90  	cond:0
[618/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:175  	lastexch:90  	cond:0
[619/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:250  	lastexch:68  	cond:0
[620/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:300  	lastexch:90  	cond:0
[621/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:25  	lastexch:68  	cond:37
[622/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:40  	lastexch:68  	cond:37
[625/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:100  	lastexch:68  	cond:0
[626/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:48  	lastexch:68  	cond:37
[627/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:12  	lastexch:75  	cond:37
[628/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:40  	lastexch:68  	cond:37
