[274/47861] [12/1/2014 9:31:22] TRADE   	[last:56.96  	lastsize:100  	lastexch:78  	cond:0
[288/47861] [12/1/2014 9:31:55] TRADE   	[last:56.85  	lastsize:40  	lastexch:68  	cond:37
[305/47861] [12/1/2014 9:32:13] TRADE   	[last:56.85  	lastsize:200  	lastexch:68  	cond:0
[306/47861] [12/1/2014 9:32:13] TRADE   	[last:56.85  	lastsize:200  	lastexch:68  	cond:0
[307/47861] [12/1/2014 9:32:13] TRADE   	[last:56.85  	lastsize:100  	lastexch:68  	cond:0
[315/47861] [12/1/2014 9:32:18] TRADE   	[last:56.86  	lastsize:15  	lastexch:90  	cond:37
[316/47861] [12/1/2014 9:32:18] TRADE   	[last:56.86  	lastsize:100  	lastexch:90  	cond:0
[317/47861] [12/1/2014 9:32:18] TRADE   	[last:56.85  	lastsize:100  	lastexch:90  	cond:0
[318/47861] [12/1/2014 9:32:18] TRADE   	[last:56.85  	lastsize:100  	lastexch:90  	cond:0
[322/47861] [12/1/2014 9:32:18] TRADE   	[last:56.85  	lastsize:100  	lastexch:75  	cond:0
[323/47861] [12/1/2014 9:32:18] TRADE   	[last:56.85  	lastsize:200  	lastexch:78  	cond:0
[324/47861] [12/1/2014 9:32:18] TRADE   	[last:56.85  	lastsize:200  	lastexch:78  	cond:0
[325/47861] [12/1/2014 9:32:18] TRADE   	[last:56.85  	lastsize:24  	lastexch:80  	cond:37
[326/47861] [12/1/2014 9:32:18] TRADE   	[last:56.85  	lastsize:61  	lastexch:80  	cond:37
[327/47861] [12/1/2014 9:32:18] TRADE   	[last:56.85  	lastsize:39  	lastexch:80  	cond:37
[328/47861] [12/1/2014 9:32:18] TRADE   	[last:56.85  	lastsize:11  	lastexch:80  	cond:37
[330/47861] [12/1/2014 9:32:18] TRADE   	[last:56.85  	lastsize:100  	lastexch:78  	cond:0
[331/47861] [12/1/2014 9:32:18] TRADE   	[last:56.85  	lastsize:89  	lastexch:80  	cond:37
[332/47861] [12/1/2014 9:32:18] TRADE   	[last:56.85  	lastsize:11  	lastexch:78  	cond:37
[333/47861] [12/1/2014 9:32:19] TRADE   	[last:56.85  	lastsize:100  	lastexch:78  	cond:0
[335/47861] [12/1/2014 9:32:19] TRADE   	[last:56.85  	lastsize:100  	lastexch:78  	cond:0
[336/47861] [12/1/2014 9:32:19] TRADE   	[last:56.85  	lastsize:50  	lastexch:78  	cond:37
