[201/5404] [12/1/2014 9:38:21] QUOTE   	[bid:11.62  	ask:11.83   	bidsize:1  	asksize:1  	bidexch:66  	askexch:80  	cond:0
[202/5404] [12/1/2014 9:38:21] QUOTE   	[bid:11.62  	ask:11.84   	bidsize:1  	asksize:1  	bidexch:66  	askexch:81  	cond:0
[203/5404] [12/1/2014 9:38:21] QUOTE   	[bid:11.62  	ask:11.84   	bidsize:1  	asksize:1  	bidexch:66  	askexch:80  	cond:0
[204/5404] [12/1/2014 9:39:3] QUOTE   	[bid:11.62  	ask:11.83   	bidsize:1  	asksize:1  	bidexch:66  	askexch:75  	cond:0
[205/5404] [12/1/2014 9:39:16] QUOTE   	[bid:11.62  	ask:11.82   	bidsize:1  	asksize:1  	bidexch:66  	askexch:81  	cond:0
[206/5404] [12/1/2014 9:39:16] QUOTE   	[bid:11.75  	ask:11.82   	bidsize:1  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[207/5404] [12/1/2014 9:39:16] QUOTE   	[bid:11.75  	ask:11.82   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[208/5404] [12/1/2014 9:39:18] QUOTE   	[bid:11.75  	ask:11.82   	bidsize:2  	asksize:2  	bidexch:81  	askexch:81  	cond:0
[209/5404] [12/1/2014 9:39:20] QUOTE   	[bid:11.75  	ask:11.82   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[210/5404] [12/1/2014 9:40:49] QUOTE   	[bid:11.75  	ask:11.82   	bidsize:2  	asksize:2  	bidexch:81  	askexch:81  	cond:0
[211/5404] [12/1/2014 9:40:52] QUOTE   	[bid:11.75  	ask:11.82   	bidsize:3  	asksize:2  	bidexch:81  	askexch:81  	cond:0
[212/5404] [12/1/2014 9:40:55] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:1  	asksize:2  	bidexch:75  	askexch:81  	cond:0
[213/5404] [12/1/2014 9:40:56] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:2  	asksize:2  	bidexch:81  	askexch:81  	cond:0
[214/5404] [12/1/2014 9:40:56] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:3  	asksize:2  	bidexch:81  	askexch:81  	cond:0
[216/5404] [12/1/2014 9:40:58] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:3  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[218/5404] [12/1/2014 9:40:58] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:3  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[219/5404] [12/1/2014 9:40:58] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:2  	asksize:1  	bidexch:75  	askexch:75  	cond:0
[220/5404] [12/1/2014 9:40:58] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:3  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[221/5404] [12/1/2014 9:41:11] QUOTE   	[bid:11.76  	ask:11.81   	bidsize:3  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[222/5404] [12/1/2014 9:41:12] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:3  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[223/5404] [12/1/2014 9:41:12] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:2  	asksize:1  	bidexch:75  	askexch:75  	cond:0
[224/5404] [12/1/2014 9:41:12] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:2  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[225/5404] [12/1/2014 9:41:12] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[226/5404] [12/1/2014 9:41:15] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:3  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[227/5404] [12/1/2014 9:41:15] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:3  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[228/5404] [12/1/2014 9:41:16] QUOTE   	[bid:11.76  	ask:11.81   	bidsize:3  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[229/5404] [12/1/2014 9:41:16] QUOTE   	[bid:11.77  	ask:11.81   	bidsize:1  	asksize:1  	bidexch:75  	askexch:75  	cond:0
[230/5404] [12/1/2014 9:41:17] QUOTE   	[bid:11.77  	ask:11.81   	bidsize:2  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[231/5404] [12/1/2014 9:41:17] QUOTE   	[bid:11.77  	ask:11.81   	bidsize:3  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[232/5404] [12/1/2014 9:41:17] QUOTE   	[bid:11.77  	ask:11.82   	bidsize:3  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[234/5404] [12/1/2014 9:41:19] QUOTE   	[bid:11.77  	ask:11.82   	bidsize:4  	asksize:1  	bidexch:81  	askexch:75  	cond:0
