[879/100000] [12/1/2014 9:30:1] TRADE   	[last:105.77  	lastsize:300  	lastexch:81  	cond:0
[882/100000] [12/1/2014 9:30:1] TRADE   	[last:105.77  	lastsize:900  	lastexch:81  	cond:0
[883/100000] [12/1/2014 9:30:1] TRADE   	[last:105.77  	lastsize:100  	lastexch:81  	cond:0
[884/100000] [12/1/2014 9:30:1] TRADE   	[last:105.77  	lastsize:4  	lastexch:81  	cond:0
[885/100000] [12/1/2014 9:30:1] TRADE   	[last:105.77  	lastsize:1600  	lastexch:81  	cond:0
[886/100000] [12/1/2014 9:30:1] TRADE   	[last:105.77  	lastsize:200  	lastexch:81  	cond:0
[891/100000] [12/1/2014 9:30:1] TRADE   	[last:105.77  	lastsize:200  	lastexch:80  	cond:0
[892/100000] [12/1/2014 9:30:1] TRADE   	[last:105.77  	lastsize:200  	lastexch:80  	cond:0
[893/100000] [12/1/2014 9:30:1] TRADE   	[last:105.77  	lastsize:200  	lastexch:80  	cond:0
[894/100000] [12/1/2014 9:30:1] TRADE   	[last:105.77  	lastsize:197  	lastexch:80  	cond:0
[919/100000] [12/1/2014 9:30:1] TRADE   	[last:105.77  	lastsize:200  	lastexch:88  	cond:37
[920/100000] [12/1/2014 9:30:1] TRADE   	[last:105.77  	lastsize:100  	lastexch:66  	cond:37
[921/100000] [12/1/2014 9:30:1] TRADE   	[last:105.77  	lastsize:100  	lastexch:68  	cond:0
[923/100000] [12/1/2014 9:30:1] TRADE   	[last:105.74  	lastsize:28  	lastexch:68  	cond:37
[924/100000] [12/1/2014 9:30:1] TRADE   	[last:105.77  	lastsize:100  	lastexch:66  	cond:0
[925/100000] [12/1/2014 9:30:1] TRADE   	[last:105.74  	lastsize:12  	lastexch:68  	cond:37
[927/100000] [12/1/2014 9:30:1] TRADE   	[last:105.74  	lastsize:10  	lastexch:68  	cond:37
[933/100000] [12/1/2014 9:30:1] TRADE   	[last:105.72  	lastsize:2  	lastexch:68  	cond:0
[936/100000] [12/1/2014 9:30:1] TRADE   	[last:105.74  	lastsize:7  	lastexch:68  	cond:37
[956/100000] [12/1/2014 9:30:1] TRADE   	[last:105.74  	lastsize:1  	lastexch:68  	cond:37
[968/100000] [12/1/2014 9:30:1] TRADE   	[last:105.74  	lastsize:300  	lastexch:68  	cond:0
[994/100000] [12/1/2014 9:30:1] TRADE   	[last:105.74  	lastsize:170  	lastexch:68  	cond:0
[1003/100000] [12/1/2014 9:30:1] TRADE   	[last:105.77  	lastsize:500  	lastexch:81  	cond:0
[1017/100000] [12/1/2014 9:30:1] TRADE   	[last:105.77  	lastsize:480  	lastexch:81  	cond:0
[1018/100000] [12/1/2014 9:30:1] TRADE   	[last:105.78  	lastsize:100  	lastexch:89  	cond:0
[1019/100000] [12/1/2014 9:30:1] TRADE   	[last:105.78  	lastsize:100  	lastexch:74  	cond:0
[1028/100000] [12/1/2014 9:30:1] TRADE   	[last:105.77  	lastsize:200  	lastexch:81  	cond:0
[1044/100000] [12/1/2014 9:30:1] TRADE   	[last:105.74  	lastsize:35  	lastexch:68  	cond:37
[1055/100000] [12/1/2014 9:30:1] TRADE   	[last:105.77  	lastsize:216  	lastexch:81  	cond:37
[1074/100000] [12/1/2014 9:30:1] TRADE   	[last:105.74  	lastsize:30  	lastexch:68  	cond:37
[1092/100000] [12/1/2014 9:30:1] TRADE   	[last:105.74  	lastsize:24  	lastexch:68  	cond:37
[1110/100000] [12/1/2014 9:30:1] TRADE   	[last:105.78  	lastsize:305  	lastexch:81  	cond:0
[1111/100000] [12/1/2014 9:30:1] TRADE   	[last:105.78  	lastsize:1335  	lastexch:81  	cond:0
