[668/5404] [12/1/2014 9:55:16] TRADE   	[last:11.72  	lastsize:1  	lastexch:68  	cond:0
[674/5404] [12/1/2014 9:55:29] TRADE   	[last:11.71  	lastsize:100  	lastexch:68  	cond:0
[687/5404] [12/1/2014 9:55:57] TRADE   	[last:11.735  	lastsize:300  	lastexch:68  	cond:0
[692/5404] [12/1/2014 9:56:25] TRADE   	[last:11.73  	lastsize:100  	lastexch:68  	cond:0
[693/5404] [12/1/2014 9:56:25] TRADE   	[last:11.73  	lastsize:100  	lastexch:68  	cond:0
[694/5404] [12/1/2014 9:56:26] TRADE   	[last:11.73  	lastsize:100  	lastexch:68  	cond:0
[716/5404] [12/1/2014 9:57:3] TRADE   	[last:11.646  	lastsize:100  	lastexch:68  	cond:0
[718/5404] [12/1/2014 9:57:3] TRADE   	[last:11.6595  	lastsize:100  	lastexch:68  	cond:0
[719/5404] [12/1/2014 9:57:4] TRADE   	[last:11.65  	lastsize:100  	lastexch:81  	cond:0
[720/5404] [12/1/2014 9:57:4] TRADE   	[last:11.6595  	lastsize:100  	lastexch:68  	cond:0
[721/5404] [12/1/2014 9:57:4] TRADE   	[last:11.659  	lastsize:248  	lastexch:68  	cond:0
[724/5404] [12/1/2014 9:57:6] TRADE   	[last:11.66  	lastsize:248  	lastexch:68  	cond:0
[753/5404] [12/1/2014 9:59:40] TRADE   	[last:11.60  	lastsize:100  	lastexch:90  	cond:0
[754/5404] [12/1/2014 9:59:40] TRADE   	[last:11.60  	lastsize:100  	lastexch:80  	cond:0
[755/5404] [12/1/2014 9:59:40] TRADE   	[last:11.6095  	lastsize:100  	lastexch:68  	cond:0
[756/5404] [12/1/2014 9:59:40] TRADE   	[last:11.6095  	lastsize:100  	lastexch:68  	cond:0
[757/5404] [12/1/2014 9:59:40] TRADE   	[last:11.61  	lastsize:100  	lastexch:68  	cond:0
[761/5404] [12/1/2014 9:59:58] TRADE   	[last:11.57  	lastsize:100  	lastexch:80  	cond:0
[763/5404] [12/1/2014 10:0:13] TRADE   	[last:11.545  	lastsize:100  	lastexch:68  	cond:0
[764/5404] [12/1/2014 10:0:18] TRADE   	[last:11.58  	lastsize:61  	lastexch:81  	cond:0
[765/5404] [12/1/2014 10:0:18] TRADE   	[last:11.5895  	lastsize:61  	lastexch:68  	cond:0
